sample_id,OC
228241,2.78
228242,2.82
228243,2.75
228244,2.37
228245,2.6
228246,2.7
228247,2.61
228248,2.95
228249,3.22
228250,3.11
228251,2.94
228252,9.49
228253,8.85
228254,8.79
228255,7.32
228256,5.6
228257,8.19
228258,2.8
228259,14.18
228260,3.68
228261,6.25
228262,3.71
228263,15.94
228264,9.04
228265,5.55
228266,12.89
228267,9.84
228268,7.32
228269,6.45
228270,16.79
228271,23.54
228272,10.59
228273,4.58
228274,6.55
228275,5.31
228276,23.83
228277,15.52
228278,7.09
228279,1.51
228280,1.48
228281,1.07
228282,1.54
228283,1.5
228284,1.11
228285,1.57
228286,1.5
228287,0.84
228288,1.53
228289,1.53
228290,0.71
228291,1.55
228292,1.64
228293,1.32
228294,1.26
228295,1.38
228296,0.59
228297,2.05
228298,1.51
228299,1.01
228300,1.04
228301,2.19
228302,1.22
228303,1.19
228304,1.13
228305,1.66
228306,1.97
228307,6.83
228308,10.2
228309,5.01
228310,3.16
228311,8.87
228312,5.51
228313,5.58
228314,5.35
228315,6.62
228316,4.73
228317,3.31
228318,2.03
228319,1.66
228320,3.19
228321,5.38
228322,5.13
228323,4.97
228324,0.85
228325,2.33
228326,5.58
228327,5.05
228328,0.32
228329,3.92
228330,0.29
228331,5.91
228332,4.97
228333,3.95
228334,0.1
228335,4.99
228336,0.16
228337,4.04
228338,9
228339,4.73
228340,4.81
228341,6.85
228342,9.08
228343,4.75
228344,7.61
228345,2.89
228346,1.22
228347,3.53
228348,5.7
228349,1.38
228350,9.71
228351,3.5
228352,13.65
228353,9.26
228354,3.02
228355,25.75
228356,13.73
228357,6.67
228358,10.17
228359,6.26
228360,7.68
228361,12.85
228362,8.41
228363,6.94
228364,12.34
228365,5.97
228366,2.42
228367,2.12
228368,0.78
228369,0.98
228370,1.39
228371,2.92
228372,3.76
228373,0.46
228374,1.42
228375,9.78
228376,7.14
228377,6.24
228378,3.06
228379,5.41
228380,5.51
228381,3.97
228382,2.25
228383,8.25
228384,6.43
228385,0.9
228386,2.48
228387,4.86
228388,0.26
228389,1.66
228390,1.95
228391,3.44
228392,4.46
228393,1.74
228394,4.64
228395,1.58
228396,2.88
228397,2.51
228398,3.04
228399,3.46
228400,1.74
228401,4.38
228402,3.16
228403,3.27
228404,3.18
228405,1.94
228406,2.76
228407,2.23
228408,3.1
228409,3.36
228410,2.77
228411,5.02
228412,3.93
228413,3.21
228414,4.11
228415,3.73
228416,3.04
228417,2.93
228418,2.97
228419,1.25
228420,0.78
228421,1.97
228422,0.76
228423,1.05
228424,0.84
228425,1.21
228426,1.09
228427,1.02
228428,0.58
228429,0.62
228430,0.84
228431,0.65
228432,0.83
228433,0.78
228434,1.33
228435,0.7
228436,1.28
228437,6.57
228438,5.12
228439,3.56
228440,4.75
228441,3.99
228442,3.78
228443,4.53
228444,3.62
228445,4.53
228446,5.05
228447,5.11
228448,4.33
228449,1.33
228450,0.62
228451,0.47
228452,0.99
228453,1.3
228454,0.71
228455,3.27
228456,5.77
228457,6.21
228458,4.27
228459,4.11
228460,6.12
228461,4.99
228462,3.91
228463,5.22
228464,5.03
228465,3.89
228466,2.35
228467,8.29
228468,2.33
228469,6.53
228470,5.3
228471,5.46
228472,8.23
228473,6.37
228474,5.41
228475,0.8
228476,0.65
228477,1.96
228478,0.89
228479,0.75
228480,1.17
228481,0.83
228482,0.75
228483,1.48
228484,0.77
228485,1.87
228486,0.86
228487,0.78
228488,1.82
228489,4.57
228490,2.2
228491,1.84
228492,3.61
228493,1.58
228494,4.74
228495,3.5
228496,3.66
228497,0.9
228498,0.67
228499,0.71
228500,30.02
228501,3.16
228502,14.01
228503,20.48
228504,23.27
228505,14.09
228506,9.51
228507,9.59
228508,7.45
228509,7.12
228510,2.26
228511,3.69
228512,3.79
228513,1.54
228514,1.48
228515,0.76
228516,1.88
228517,1.86
228518,1.26
228519,8.72
228520,1.6
228521,1.54
228522,1.55
228523,6
228524,5.48
228525,2.09
228526,1.95
228527,0.94
228528,6.94
228529,10.67
228530,15.22
228531,15.86
228532,0.74
228533,0.66
228534,0.46
228535,0.29
228536,0.41
228537,7.49
228538,1.71
228539,1.16
228540,1.76
228541,1.89
228542,2.97
228543,3.28
228544,1.45
228545,2.21
228546,0.8
228547,0.6
228548,0.73
228549,2.02
228550,1.31
228551,1.08
228552,2.98
228553,1.58
228554,1.07
228555,0.61
228556,0.53
228557,2.13
228558,1.17
228559,1.19
228560,1.09
228561,6.2
228562,0.55
228563,2.22
228564,1.52
228565,1.06
228566,4.58
228567,0.97
228568,0.9
228569,0.94
228570,5.41
228571,1.93
228572,1.29
228573,1.02
228574,5.17
228575,0.97
228576,2.16
228577,2.07
228578,0.6
228579,1.54
284622,2.81
284623,2.73
284624,3.31
284625,3.15
284626,3.15
284627,13.44
284628,10.37
284629,10.77
284630,7
284631,6.22
284632,4.7
284633,3.39
284634,2.7
284635,3.16
284636,2.84
284637,3.69
284638,3.21
284639,2.32
284640,3.58
284641,3.1
284642,2.61
284643,5.23
284644,3.66
284645,3.72
284646,40.81
284647,30.53
284648,30.63
284649,32.8
284650,23.19
284651,14.68
284652,46.59
284653,19.67
284654,19.93
284655,33.93
284656,17.88
284657,20.93
284658,17.32
284659,26.44
284660,23.36
284661,23.82
284662,26.87
284663,24.87
284664,20.57
284665,20.87
284666,15.08
284667,24.19
284668,21.41
284669,17.19
284670,17.92
284671,43.22
284672,32.03
284673,23.11
284674,12.8
284675,27.51
284676,23.92
284677,24.33
284678,21.68
284679,1.81
284680,1.77
284681,1.86
284682,9.63
284683,9.57
284684,3.84
284685,12.42
284686,9.08
284687,8.02
284688,7.49
284689,5.1
284690,9.5
284691,8.19
284692,10.22
284693,8.76
284694,5.68
284695,9.37
284696,7.21
284697,6.82
284698,6.55
284699,20.34
284700,13.42
284701,12.85
284702,15.1
284703,15.46
284704,16.54
284705,13.98
284706,6.92
284707,18.52
284708,14.67
284709,32.53
284710,20.67
284711,15.23
284712,23.7
284713,14.24
284714,21.18
284715,18.73
284716,37.35
284717,15.5
284718,5.42
284719,28.94
284720,15.43
284721,2.02
284722,27.11
284723,9.12
284724,4.17
284725,4.91
284726,22.25
284727,15.34
284728,2.78
